ORDER_ID	MERCHCUSTID CUSTOMER_ID	ASIN	ORDER_DAY	SHIP_DAY	DELIVERY_DAY	ORDER_DAY_REFORMATED	SHIP_DAY_REFORMATED	SHIPDAYOFWEEK	ORDERDAYOFWEEK	SHIPWEEKOFYEAR	SHIPMONTH	MEDIA	GL	PRODUCTGROUPNO	GMS	PRMSLAD	ZIP_O	ZIP_D	SHIPMETHOD	CARRIER	WEIGHT	WIDTH	HEIGHT	LENGTH	DISTANCE	SPEEDCATEGORY	BUSDELIVERYDAYSC2D	BUSLPROMISEDDELIVERYDAYSC2D	BUSDELIVERYDAYSS2D	BUSLPROMISEDDELIVERYDAYSS2D	BUSEPROMISEDDELIVERYDAYSS2D	CALDELIVERYDAYSC2D	CALLPROMISEDDELIVERYDAYSC2D	CALDELIVERYDAYSS2D	CALLPROMISEDDELIVERYDAYSS2D	CALEPROMISEDDELIVERYDAYSS2D
002-8642441-3437030	865923391	16534908105	B003IF33JY	25-JUN-15	26-JUN-15	02-JUL-15	06/25/2015	06/26/2015	6	5	26	06	N	Apparel	193	11	07-JUL-15	90638	33166	MERCHANT		.35	5.099999994798	.99999999898	7.599999992248	2314	Standard	5	8	4	6	3	7	12	6	8	5
116-9358213-2949839	2040624031	1122618606	B00K72ENKE	15-DEC-15	15-DEC-15	21-DEC-15	12/15/2015	12/15/2015	3	3	51	12	N	Musical Instruments	267	21.99	24-DEC-15	10303	28117	MERCHANT		1.7	7.099999992758	3.299999996634	12.49999998725	506	Standard	4	8	4	5	3	6	10	6	7	5
116-0501742-3121845	926176936	1903676490	B00SNM5US4	02-AUG-15	03-AUG-15	07-AUG-15	08/02/2015	08/03/2015	2	1	32	08	N	Health & Personal Care	121	28.56	12-AUG-15	11749	14204	MERCHANT		.29982867632	2.5196850368	2.5196850368	2.7165354303	326	Standard	4	8	3	4	2	5	11	4	7	3
113-2649595-1422637	994261056	7031774425	0324589735	17-JAN-16	18-JAN-16	25-JAN-16	01/17/2016	01/18/2016	2	1	03	01	Y	Books	14	7.4	28-JAN-16	89506	55414	MERCHANT		1.55	6.399999993472	.899999999082	9.099999990718	1402	Expedited	5	9	4	5	1	8	12	7	8	2
111-8451433-8866627	7520546105	36409338005	B00TT70OME	07-FEB-16	08-FEB-16	11-FEB-16	02/07/2016	02/08/2016	2	1	06	02	N	Beauty	194	7.99	17-FEB-16	92868	90660	MERCHANT		.60999999948846	6.0599999938188	.6299999993574	11.7299999880354	18	Standard	3	7	2	5	2	4	10	3	8	3
107-2474002-8411416	604081421	1614547330	B00H8EP87Q	29-APR-15	29-APR-15	01-MAY-15	04/29/2015	04/29/2015	4	4	18	04	N	Apparel	193	41.99	08-MAY-15	08837	10017	MERCHANT		.25	6.199999993676	2.899999997042	6.99999999286	26	Standard	2	7	2	5	3	2	10	2	7	5
105-2405956-6607453	1591227491	11229459315	B016QLWUNG	15-DEC-15	16-DEC-15	29-DEC-15	12/15/2015	12/16/2015	4	3	51	12	N	Wireless	107	5.29	24-DEC-15	11385	45238	MERCHANT		.04999999995807	3.399999996532	.599999999388	5.899999993982	579	Standard	10	7	9	5	3	14	9	13	7	5
110-9631198-3269820	271986070	8970337605	0071763430	10-APR-15	13-APR-15	15-APR-15	04/10/2015	04/13/2015	2	6	16	04	Y	Books	14	7.56	04-MAY-15	93003	91406	MERCHANT		1.45503607828094	8.5039369992	.9448818888	10.7874015638	42	Standard	3	17	1	15	2	5	24	2	20	4
110-5929151-9687466	120722806	1163821720	B000EQQLNK	17-DEC-15	18-DEC-15	22-DEC-15	12/17/2015	12/18/2015	6	5	51	12	N	Automotive	263	160.79	29-DEC-15	92870	80128	MERCHANT		.85	6.299999993574	3.099999996838	9.399999990412	808	Standard	3	8	2	6	3	5	12	4	8	5
108-8540772-1405067	1885358641	24259830	0385539835	17-FEB-16	18-FEB-16	23-FEB-16	02/17/2016	02/18/2016	5	4	07	02	Y	Books	14	17.56	10-MAR-16	60035	60661	MERCHANT		2.04999999828089	6.199999993676	1.299999998674	9.199999990616	23	Standard	4	18	3	15	4	6	23	5	20	6
